"Wine.type","Malic.acid","Ash","Phenols"
"type1",1.71,2.43,2.8
"type1",1.78,2.14,2.65
"type1",2.36,2.67,2.8
"type1",1.95,2.5,3.85
"type1",2.59,2.87,2.8
"type1",1.76,2.45,3.27
"type1",1.87,2.45,2.5
"type1",2.15,2.61,2.6
"type1",1.64,2.17,2.8
"type1",1.35,2.27,2.98
"type1",2.16,2.3,2.95
"type1",1.48,2.32,2.2
"type1",1.73,2.41,2.6
"type1",1.73,2.39,3.1
"type1",1.87,2.38,3.3
"type1",1.81,2.7,2.85
"type1",1.92,2.72,2.8
"type1",1.57,2.62,2.95
"type1",1.59,2.48,3.3
"type1",3.1,2.56,2.7
"type1",1.63,2.28,3
"type1",3.8,2.65,2.41
"type1",1.86,2.36,2.61
"type1",1.6,2.52,2.48
"type1",1.81,2.61,2.53
"type1",2.05,3.22,2.63
"type1",1.77,2.62,2.85
"type1",1.72,2.14,2.4
"type1",1.9,2.8,2.95
"type1",1.68,2.21,2.65
"type1",1.5,2.7,3
"type1",1.66,2.36,2.86
"type1",1.83,2.36,2.42
"type1",1.53,2.7,2.95
"type1",1.8,2.65,2.35
"type1",1.81,2.41,2.7
"type1",1.64,2.84,2.6
"type1",1.65,2.55,2.45
"type1",1.5,2.1,2.4
"type1",3.99,2.51,3
"type1",1.71,2.31,3.15
"type1",3.84,2.12,2.45
"type1",1.89,2.59,3.25
"type1",3.98,2.29,2.64
"type1",1.77,2.1,3
"type1",4.04,2.44,2.85
"type1",3.59,2.28,3.25
"type1",1.68,2.12,3.1
"type1",2.02,2.4,2.75
"type1",1.73,2.27,2.88
"type1",1.73,2.04,2.72
"type1",1.65,2.6,2.45
"type1",1.75,2.42,3.88
"type1",1.9,2.68,3
"type1",1.67,2.25,2.6
"type1",1.73,2.46,2.96
"type1",1.7,2.3,3.2
"type1",1.97,2.68,3
"type1",1.43,2.5,3.4
"type2",0.94,1.36,1.98
"type2",1.1,2.28,2.05
"type2",1.36,2.02,2.02
"type2",1.25,1.92,2.1
"type2",1.13,2.16,3.5
"type2",1.45,2.53,1.89
"type2",1.21,2.56,2.42
"type2",1.01,1.7,2.98
"type2",1.17,1.92,2.11
"type2",0.94,2.36,2.53
"type2",1.19,1.75,1.85
"type2",1.61,2.21,1.1
"type2",1.51,2.67,2.95
"type2",1.66,2.24,1.88
"type2",1.67,2.6,3.3
"type2",1.09,2.3,3.38
"type2",1.88,1.92,1.61
"type2",0.9,1.71,1.95
"type2",2.89,2.23,1.72
"type2",0.99,1.95,1.9
"type2",3.87,2.4,2.83
"type2",0.92,2,2.42
"type2",1.81,2.2,2.2
"type2",1.13,2.51,2
"type2",3.86,2.32,1.65
"type2",0.89,2.58,2.2
"type2",0.98,2.24,2.2
"type2",1.61,2.31,1.78
"type2",1.67,2.62,1.92
"type2",2.06,2.46,1.95
"type2",1.33,2.3,2.2
"type2",1.83,2.32,1.6
"type2",1.51,2.42,1.45
"type2",1.53,2.26,1.38
"type2",2.83,2.22,2.45
"type2",1.99,2.28,3.02
"type2",1.52,2.2,2.5
"type2",2.12,2.74,1.6
"type2",1.41,1.98,2.55
"type2",1.07,2.1,3.52
"type2",3.17,2.21,2.85
"type2",2.08,1.7,2.23
"type2",1.34,1.9,1.45
"type2",2.45,2.46,2.56
"type2",1.72,1.88,2.5
"type2",1.73,1.98,2.2
"type2",2.55,2.27,1.68
"type2",1.73,2.12,1.65
"type2",1.75,2.28,1.38
"type2",1.29,1.94,2.36
"type2",1.35,2.7,2.74
"type2",3.74,1.82,3.18
"type2",2.43,2.17,2.55
"type2",2.68,2.92,1.75
"type2",0.74,2.5,2.48
"type2",1.39,2.5,2.56
"type2",1.51,2.2,2.46
"type2",1.47,1.99,1.98
"type2",1.61,2.19,2
"type2",3.43,1.98,1.63
"type2",3.43,2,2
"type2",2.4,2.42,2.9
"type2",2.05,3.23,3.18
"type2",4.43,2.73,2.2
"type2",5.8,2.13,2.62
"type2",4.31,2.39,2.86
"type2",2.16,2.17,2.6
"type2",1.53,2.29,2.74
"type2",2.13,2.78,2.13
"type2",1.63,2.3,2.22
"type2",4.3,2.38,2.1
"type3",1.35,2.32,1.51
"type3",2.99,2.4,1.3
"type3",2.31,2.4,1.15
"type3",3.55,2.36,1.7
"type3",1.24,2.25,2
"type3",2.46,2.2,1.62
"type3",4.72,2.54,1.38
"type3",5.51,2.64,1.79
"type3",3.59,2.19,1.62
"type3",2.96,2.61,2.32
"type3",2.81,2.7,1.54
"type3",2.56,2.35,1.4
"type3",3.17,2.72,1.55
"type3",4.95,2.35,2
"type3",3.88,2.2,1.38
"type3",3.57,2.15,1.5
"type3",5.04,2.23,0.98
"type3",4.61,2.48,1.7
"type3",3.24,2.38,1.93
"type3",3.9,2.36,1.41
"type3",3.12,2.62,1.4
"type3",2.67,2.48,1.48
"type3",1.9,2.75,2.2
"type3",3.3,2.28,1.8
"type3",1.29,2.1,1.48
"type3",5.19,2.32,1.74
"type3",4.12,2.38,1.8
"type3",3.03,2.64,1.9
"type3",1.68,2.7,2.8
"type3",1.67,2.64,2.6
"type3",3.83,2.38,2.3
"type3",3.26,2.54,1.83
"type3",3.27,2.58,1.65
"type3",3.45,2.35,1.39
"type3",2.76,2.3,1.35
"type3",4.36,2.26,1.28
"type3",3.7,2.6,1.7
"type3",3.37,2.3,1.48
"type3",2.58,2.69,1.55
"type3",4.6,2.86,1.98
"type3",3.03,2.32,1.25
"type3",2.39,2.28,1.39
"type3",2.51,2.48,1.68
"type3",5.65,2.45,1.68
"type3",3.91,2.48,1.8
"type3",4.28,2.26,1.59
"type3",2.59,2.37,1.65
"type3",4.1,2.74,2.05
